energy_eV_minus_EF,dos_states_per_eV_per_atom
-4.285714,0.46669474
-4.235589,0.72290182
-4.185463,0.69352698
-4.135338,0.48739564
-4.085213,0.49207795
-4.035088,0.42490259
-3.984962,0.48851842
-3.934837,0.63731813
-3.884712,0.57904929
-3.834586,0.62632567
-3.784461,0.80674219
-3.734336,0.58381009
-3.684211,0.6092037
-3.634085,0.37868154
-3.583960,0.12681077
-3.533835,0.27428278
-3.483709,0.43654463
-3.433584,0.56357872
-3.383459,0.64481407
-3.333333,0.62297624
-3.283208,0.61657703
-3.233083,0.5198279
-3.182957,0.39697161
-3.132832,0.47085622
-3.082707,0.52320707
-3.032582,0.43819347
-2.982456,0.33987185
-2.932331,0.53989005
-2.882205,0.51208115
-2.832080,0.67916173
-2.781955,0.60342526
-2.731830,0.56742859
-2.681704,0.42155054
-2.631579,0.35157752
-2.581454,0.68963337
-2.531328,0.80353737
-2.481203,0.6204229
-2.431078,0.81924081
-2.380952,0.9256084
-2.330827,0.72394472
-2.280702,0.61202538
-2.230577,0.58097595
-2.180451,0.39062795
-2.130326,0.575297
-2.080200,0.73908484
-2.030075,0.58709592
-1.979950,0.3442719
-1.929825,0.50672221
-1.879699,0.60049367
-1.829574,0.6229763
-1.779449,0.73389906
-1.729323,0.50004715
-1.679198,0.75764465
-1.629073,0.68766481
-1.578947,0.46287441
-1.528822,0.52425861
-1.478697,0.4932451
-1.428571,0.44169575
-1.378446,0.58243257
-1.328321,0.82843375
-1.278196,0.81214088
-1.228070,0.6338973
-1.177945,0.79805946
-1.127820,0.64372927
-1.077694,0.58374375
-1.027569,0.63391143
-0.977444,0.7148
-0.927318,0.79169106
-0.877193,0.64916801
-0.827068,0.54263699
-0.776942,0.49193361
-0.726817,0.72798163
-0.676692,0.42256394
-0.626566,0.37261677
-0.576441,0.44246024
-0.526316,0.59817785
-0.476190,0.73845977
-0.426065,0.40215918
-0.375940,0.11073822
-0.325815,0.097832009
-0.275689,0.14380236
-0.225564,0.26152372
-0.175439,0.080836646
